ID,Area,DW,Year,ID_num,Tissue,Gender,dta_km,dtfl_km,Longitude,Latitude,Month_of_Capture,Mantle_length_mm,Wet_Weight_g,Maturity_level,Adipic_acid,Caprolactam,Chlorpyrifos,Ibuprofen
28_13_liver,28,104.1,2019,13,Liver,0,536,192,060°08'W,49°27'S,5,267.7,366.53,3,0,0.422,0,9.324
28_14_liver,28,102,2019,14,Liver,0,536,192,060°08'W,49°27'S,5,265.6,423.27,3,0,0.216,0,2.279
28_15_liver,28,108.9,2019,15,Liver,0,536,192,060°08'W,49°27'S,5,287.4,482.5,4,13.229,0.911,0,33.413
60_01_muscle,60,103.8,2020,01,Muscle,0,590,130,59°31'W,50°05'S,4,227.3,233.03,3,0.06,0.049,1 BLOQ,0.118
60_02_muscle,60,101.7,2020,02,Muscle,0,590,130,59°31'W,50°05'S,4,239.3,336.23,3,2.5 BLOQ,0.015,1 BLOQ,10 BLOQ
60_03_muscle,60,112.2,2020,03,Muscle,1,590,130,59°31'W,50°05'S,4,240.6,344.68,5,0.071,0.015,1 BLOQ,10 BLOQ
60_04_muscle,60,104.1,2020,04,Muscle,0,590,130,59°31'W,50°05'S,4,240.6,310.74,3,0.032,0.041,1 BLOQ,10 BLOQ
60_05_muscle,60,102.2,2020,05,Muscle,1,590,130,59°31'W,50°05'S,4,235.9,301.78,5,2.5 BLOQ,0.018,1 BLOQ,10 BLOQ
60_06_muscle,60,103.5,2020,06,Muscle,0,590,130,59°31'W,50°05'S,4,241.8,292.32,2,2.5 BLOQ,0.037,1 BLOQ,10 BLOQ
60_07_muscle,60,110.5,2020,07,Muscle,1,590,130,59°31'W,50°05'S,4,237.3,346.48,5,2.5 BLOQ,0.039,1 BLOQ,10 BLOQ
60_08_muscle,60,104.6,2020,08,Muscle,1,590,130,59°31'W,50°05'S,4,223.4,259.5,5,2.5 BLOQ,0.05,1 BLOQ,0.133
60_09_muscle,60,104.5,2020,09,Muscle,0,590,130,59°31'W,50°05'S,4,219,226.89,2,0.087,0.02,1 BLOQ,10 BLOQ
60_10_muscle,60,108,2020,10,Muscle,1,590,130,59°31'W,50°05'S,4,215.3,268.83,5,0.04,0.032,1 BLOQ,10 BLOQ
60_11_muscle,60,108.2,2020,11,Muscle,0,590,130,59°31'W,50°05'S,4,235.1,277.38,2,2.5 BLOQ,0.012,1 BLOQ,10 BLOQ
60_12_muscle,60,105.1,2020,12,Muscle,1,590,130,59°31'W,50°05'S,4,226.7,271.44,5,2.5 BLOQ,0.017,1 BLOQ,10 BLOQ
60_13_muscle,60,103.3,2020,13,Muscle,1,590,130,59°31'W,50°05'S,4,236.5,293.22,5,0.035,1 BLOQ,1 BLOQ,10 BLOQ
60_14_muscle,60,110.4,2020,14,Muscle,1,590,130,59°31'W,50°05'S,4,235.3,308.75,5,2.5 BLOQ,1 BLOQ,1 BLOQ,10 BLOQ
60_15_muscle,60,107.9,2020,15,Muscle,0,590,130,59°31'W,50°05'S,4,245.7,346.14,3,0.031,1 BLOQ,1 BLOQ,10 BLOQ
65_01_muscle,65,109.9,2020,01,Muscle,1,561,166,59°52'W,49°42'S,3,229.1,286.8,5,2.5 BLOQ,1 BLOQ,1 BLOQ,10 BLOQ
65_02_muscle,65,100.6,2020,02,Muscle,0,561,166,59°52'W,49°42'S,3,235,259.86,3,2.5 BLOQ,1 BLOQ,1 BLOQ,10 BLOQ
65_03_muscle,65,100.5,2020,03,Muscle,0,561,166,59°52'W,49°42'S,3,248.1,327.45,4,2.5 BLOQ,0.014,1 BLOQ,0.102
65_04_muscle,65,109.1,2020,04,Muscle,0,561,166,59°52'W,49°42'S,3,248.6,341.04,3,2.5 BLOQ,1 BLOQ,1 BLOQ,10 BLOQ
65_05_muscle,65,113.4,2020,05,Muscle,1,561,166,59°52'W,49°42'S,3,253.6,381.95,5,2.5 BLOQ,0.025,1 BLOQ,10 BLOQ
65_06_muscle,65,110.7,2020,06,Muscle,1,561,166,59°52'W,49°42'S,3,222.4,263.52,5,0.067,0.015,1 BLOQ,10 BLOQ
65_07_muscle,65,105.8,2020,07,Muscle,1,561,166,59°52'W,49°42'S,3,221.9,253.33,5,0.041,0.038,1 BLOQ,10 BLOQ
